id_store_price_list;tx_createdate;tx_status;tx_price_list_code;tx_store_code;tx_store_price_list_code;tx_company_code
1;2023-10-27 01:50:30;CREATED;3;ST001;LP001;AZALEIA
2;2023-10-27 01:50:30;CREATED;3;ST002;LP002;AZALEIA
3;2023-10-27 01:50:30;CREATED;3;ST003;LP003;AZALEIA
4;2023-10-27 01:50:30;CREATED;3;ST004;LP004;AZALEIA
5;2023-10-27 01:50:30;CREATED;3;ST007;LP007;AZALEIA
6;2023-10-27 01:50:30;CREATED;3;ST008;LP008;AZALEIA
7;2023-10-27 01:50:30;CREATED;3;ST011;LP011;AZALEIA
8;2023-10-27 01:50:30;CREATED;3;ST016;LP016;AZALEIA
9;2023-10-27 01:50:30;CREATED;3;ST020;LP020;AZALEIA
10;2023-10-27 01:50:30;CREATED;3;ST022;LP022;AZALEIA
11;2023-10-27 01:50:30;CREATED;3;ST023;LP023;AZALEIA
12;2023-10-27 01:50:30;CREATED;3;ST024;LP024;AZALEIA
13;2023-10-27 01:50:30;CREATED;3;ST025;LP025;AZALEIA
14;2023-10-27 01:50:30;CREATED;3;ST029;LP029;AZALEIA
15;2023-10-27 01:50:30;CREATED;3;ST032;LP032;AZALEIA
16;2023-10-27 01:50:30;CREATED;3;ST036;LP036;AZALEIA
17;2023-10-27 01:50:30;CREATED;3;ST038;LP038;AZALEIA
18;2023-10-27 01:50:30;CREATED;3;ST040;LP040;AZALEIA
19;2023-10-27 01:50:30;CREATED;3;ST043;LP043;AZALEIA
20;2023-10-27 01:50:30;CREATED;3;ST044;LP044;AZALEIA
21;2023-10-27 01:50:30;CREATED;3;ST046;LP046;AZALEIA
22;2023-10-27 01:50:30;CREATED;3;ST048;LP048;AZALEIA
23;2023-10-27 01:50:30;CREATED;3;ST050;LP050;AZALEIA
24;2023-10-27 01:50:30;CREATED;3;ST054;LP054;AZALEIA
25;2023-10-27 01:50:30;CREATED;3;ST056;LP056;AZALEIA
26;2023-10-27 01:50:30;CREATED;3;ST057;LP057;AZALEIA
27;2023-10-27 01:50:30;CREATED;3;ST059;LP059;AZALEIA
28;2023-10-27 01:50:30;CREATED;3;ST060;LP060;AZALEIA
29;2023-10-27 01:50:30;CREATED;3;ST061;LP061;AZALEIA
30;2023-10-27 01:50:30;CREATED;3;ST062;LP062;AZALEIA
